#OID,CID,Total payment after discount,Oder date
O842,C413,84000000,12/29/2022_19:14
O404,C978,1785000,01/02/2023_23:04
O101,C978,32300000,01/02/2023_23:05
O302,C978,85000000,01/02/2023_23:05
O403,C978,32150000,01/02/2023_23:06
O974,C978,32300000,01/02/2023_23:10
O601,C978,42500000,01/02/2023_23:12
O154,C978,42500000,01/02/2023_23:16
O941,C978,42500000,01/02/2023_23:17
O651,C978,51000000,01/02/2023_23:18
O277,C978,42000000,01/02/2023_23:19
O887,C978,41500000,01/02/2023_23:21
O552,C978,51000000,01/02/2023_23:22
O683,C978,42500000,01/02/2023_23:22
O860,C978,32650000,01/02/2023_23:22
O616,C978,84000000,01/02/2023_23:24
O559,C978,85000000,01/02/2023_23:24
O675,C978,102000000,01/02/2023_23:24
O351,C978,41500000,01/02/2023_23:24
O572,C978,85000000,01/02/2023_23:27
O378,C978,41500000,01/02/2023_23:27
O423,C978,102000000,01/02/2023_23:29
O019,C978,41500000,01/02/2023_23:29
O695,C978,85000000,01/02/2023_23:30
O838,C978,41500000,01/02/2023_23:30
O871,C978,42500000,01/02/2023_23:32
O751,C978,42500000,01/02/2023_23:32
O523,C978,85000000,01/02/2023_23:33
O578,C978,42500000,01/02/2023_23:33
O086,C978,102000000,01/02/2023_23:34
O569,C978,42500000,01/02/2023_23:34
O437,C978,42500000,01/02/2023_23:36
O563,C978,42500000,01/02/2023_23:37
O861,C978,42500000,01/02/2023_23:39
O079,C978,42500000,01/02/2023_23:40
O612,C978,42500000,01/02/2023_23:41
O619,C978,41500000,01/02/2023_23:44
0030,C978,42500000,01/02/2023_23:46
O010,C978,42500000,01/02/2023_23:46
O040,C978,42500000,01/02/2023_23:48
O405,C978,42500000,01/02/2023_23:50
O097,C978,42000000,01/02/2023_23:51
O070,C978,42500000,01/02/2023_23:53
O130,C978,42500000,01/02/2023_23:55
O193,C978,42000000,01/02/2023_23:57
O192,C978,42500000,01/02/2023_23:59
O739,C978,42000000,01/03/2023_00:00
O721,C978,42000000,01/03/2023_00:01
O257,C978,42000000,01/03/2023_00:02
O139,C978,41500000,01/03/2023_00:05
O654,C978,41500000,01/03/2023_00:10
O371,C978,42000000,01/03/2023_00:11
O195,C978,42000000,01/03/2023_00:13
0732,C978,42000000,01/03/2023_00:15
O697,C978,41500000,01/03/2023_00:26
O544,C978,51000000,01/03/2023_00:27
O122,C978,203000000,01/03/2023_00:27
O270,C978,153000000,01/03/2023_00:27
O700,C978,305000000,01/03/2023_12:56
O588,C978,42500000,01/03/2023_12:59
