#OID,CID,Total payment after discount,Order date
T040,C010,42000000,01/14/2023_16:37
T060,C010,42500000,01/14/2023_23:28
T488,C010,42000000,01/14/2023_23:29
T163,C555,50000000,01/15/2023_15:01
T871,C010,42500000,01/15/2023_15:35
T664,C010,36050000,01/15/2023_15:35
T821,C010,42500000,01/15/2023_22:45
T079,C010,36550000,01/15/2023_22:45
T788,C010,42500000,01/15/2023_23:34
T110,C010,42000000,01/16/2023_12:51
T789,C762,72500000,01/16/2023_21:03
T935,C017,50000000,01/16/2023_21:13
T650,C010,4600000,01/16/2023_21:13
T757,C010,62050000,01/16/2023_21:15
T146,C610,99000000,01/16/2023_21:16
T355,C610,42500000,01/16/2023_21:18
