#OID,CID,Membership,PID,Single unit price,Quantity,Payment price,Order date,Order status,Delivery status
O404,C978,Platinum,I005-2015,2100000,1,2100000,01/02/2023_23:04,SUCCESSFUL,DELIVERING
O101,C978,Platinum,I003-1992,38000000,1,38000000,01/02/2023_23:05,SUCCESSFUL,DELIVERING
O302,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:05,SUCCESSFUL,DELIVERING
O403,C978,Platinum,I004-1999,39000000,1,39000000,01/02/2023_23:06,SUCCESSFUL,DELIVERING
O974,C978,Platinum,I003-1992,38000000,1,38000000,01/02/2023_23:10,SUCCESSFUL,DELIVERING
O601,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:12,SUCCESSFUL,DELIVERING
O154,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:16,SUCCESSFUL,DELIVERING
O941,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:17,SUCCESSFUL,DELIVERING
O651,C978,Platinum,I002-1988,60000000,1,60000000,01/02/2023_23:18,SUCCESSFUL,DELIVERING
O277,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:19,SUCCESSFUL,DELIVERING
O887,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:21,SUCCESSFUL,DELIVERING
O552,C978,Platinum,I002-1988,60000000,1,60000000,01/02/2023_23:22,SUCCESSFUL,DELIVERING
O683,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:22,SUCCESSFUL,DELIVERING
O860,C978,Platinum,I004-1999,39000000,1,39000000,01/02/2023_23:22,SUCCESSFUL,DELIVERING
O616,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:24,SUCCESSFUL,DELIVERING
O559,C978,Platinum,I001-2001,50000000,2,100000000,01/02/2023_23:24,SUCCESSFUL,DELIVERING
O675,C978,Platinum,I002-1988,60000000,2,120000000,01/02/2023_23:24,SUCCESSFUL,DELIVERING
O351,C978,Platinum,I001-2001,50000000,1,50000000,01/02/2023_23:24,SUCCESSFUL,DELIVERING
